Hello!	Nǐ hǎo!	你好！
Frozen foods are very convenient.	Lěngdòng shípǐn hěn fāngbiàn.	冷冻食品很方便。
She forgave the boy for his rudeness.	tā yuánliàng le nánhái de cūlǔ .	她原谅了男孩的粗鲁。
Fishing is forbidden here.	Zhèli bù kěyǐ diàoyú.	这里不可以钓鱼。
As soon as he's free, he goes fishing.	Tā yī yǒukòng jiù qù diàoyú.	他一有空就去钓鱼。
My older brother and I enjoy fishing.	Wǒ hé gēge dōu xǐhuan diàoyú.	我和哥哥都喜欢钓鱼。
He is an expert at fishing.	tā shì ge diàoyú zhuānjiā .	他是个钓鱼专家。
He went fishing rather than playing tennis.	tā qù diàoyú le, ér méi qù dǎ wǎngqiú .	他去钓鱼了，而没去打网球。
I went fishing in the river yesterday.	zuótiān wǒ qù hébiān diàoyú le .	昨天我去河边钓鱼了。
There are two pagodas by the river bank.	Hébiān yǒu liǎng zuò bǎotǎ.	河边有两座宝塔。
There are many peddlers selling vegetables by the riverside.	Hébiān yǒu hěn duō xiǎofàn zài mài cài.	河边有很多小贩在卖菜。
This book is worth keeping.	Zhè běn shū zhíde zhēncáng.	这本书值得珍藏。
The data from this experiment is reliable.	Zhècì shìyàn de shùjù hěn kěxìn.	这次试验的数据很可信。
The ship has sunk.	Chuán chénmò le.	船沉没了。
It is not easy to raise a child.	Yǎng háizi bù róngyì.	养孩子不容易。
Learning a foreign language well isn't easy.	Xué hǎo yī mén wàiyǔ bù róngyì.	学好一门外语不容易。
In my opinion, it's not easy to make friends in a foreign country.	Běnrén rènwéi, zài wàiguó jiāoyǒu bù róngyì.	本人认为,在外国交友不容易。
It's not easy for parents to raise a child.	Fùmǔ yǎng háizi hěn bù róngyì.	父母养孩子很不容易。
Now it is not easy to obtain a visa.	Xiànzài nádào qiānzhèng bù róngyì.	现在拿到签证不容易。
English is not easy, but it is interesting.	yīngyǔ bù róngyì , dàn hěn yǒuyì sī .	英语不容易，但很有意思。
It's not easy to master French at all.	yào zhǎngwò fǎyǔ yīdiǎn dōu bù róngyì .	要掌握法语一点都不容易。
It's not easy to pronounce the tones.	Fāshēng bù róngyì.	发声不容易。
This is a difficult posture.	Zhè gè zīshì bù róngyì.	这个姿势不容易。
AIDS is not easy to treat.	Àizībìng bù róngyì zhìliáo.	艾滋病不容易治疗。
AIDS is a horrible disease.	Àizībìng shì kěpà de jíbìng.	艾滋病是可怕的疾病。
It is illegal for bicycles to pass on the right of cars.	zìxíngchē cóng yòu cè chāoguò qìchē shì bùhéfǎ de .	自行车从右侧超过汽车是不合法的。
It's your turn to be on duty.	Zhè huílún dào nǐ zhírì le.	这回轮到你值日了。
Portugal is in Europe.	Pútáoyá zài Ōuzhōu.	葡萄牙在欧洲。
He's lying.	Tā zài sāhuǎng.	他在撒谎。
I'm sure he lied.	Wǒ quèdìng tā sāhuǎng le.	我确定他撒谎了。
You are lying.	nǐ zài sāhuǎng .	你在撒谎。
I like cacti.	Wǒ xǐhuan xiānrénzhǎng.	我喜欢仙人掌。
There's a new calendar on the desk.	Zhuō shàng fàngzhe xīn de rìlì.	桌上放着新的日历。
Xiao Zhao's academic grades are outstanding.	Xiǎo Zhào xuéxí chéngjì hěn yōuxiù.	小赵学习成绩很优秀。
Up to now, there is still no news.	Jiézhì mùqián wéizhǐ, hái méiyǒu shénme xiāoxi.	截至目前为止，还没有什么消息。
Up to now, there has still been no news.	Jiézhì mùqián wéizhǐ, hái méiyǒu shénme xiāoxi.	截至目前为止，还没有什么消息。
Applying for the job was until yesterday.	Bàomíng gōngzuò jiézhì dào zuótiān.	报名工作截至到昨天。
The deadline for enrolling in the school is on the 5th.	Xuéxiào wǔ hào jiézhǐ bàomíng.	学校5号截止报名。
They're recording a new album.	Tāmen zhèngzài guàn chàngpiàn.	她们正在灌唱片。
The Art of War is a very famous book.	《Sūnzi Bīngfǎ》 shì yī běn hěn yǒumíngde shū.	《孙子兵法》是一本很有名的书。
The Art of War is very famous in the West.	Sūnzi Bīngfǎ zài Xīfāng shì hěn yǒu míng de.	《孙子兵法》在西方是很有名的。
The US is about to attack Iraq.	Měiguó zhǔnbèi gōngdǎ Yīlākè.	美国准备攻打伊拉克。
The general decided to attack the enemy at night.	Jiāngjūn juédìng yèli gōngdǎ dírén.	将军决定夜里攻打敌人。
The police are conducting a search for the criminal.	Jǐngchá zài sōuchá zuìfàn.	警察在搜查罪犯。
The tiger walked over quietly.	Lǎohǔ qiāoqiāo de zǒu guòlái.	老虎悄悄地走过来。
There is a tiger in the zoo.	Dòngwùyuán lǐ yǒu yī zhī lǎohǔ.	动物园里有一只老虎。
No wild tigers are to be found in Africa.	zài Fēizhōu zhǎo bù dào yěshēng de lǎohǔ .	在非洲找不到野生的老虎。
The wolf is a wild animal.	Láng shì yěshēng dòngwù.	狼是野生动物。
There is a turn up ahead.	Chē zài qiánfāng guǎiwān.	车在前方拐弯。
The government announced an environmental protection measure.	Zhèngfǔ xuānbù le yīxiàng huánbǎo cuòshī.	政府宣布了一项环保措施。
Recently, China has implemented many environmental protection measures.	Zuìjìn Zhōngguó shíshī le hěn duō huánbǎo cuòshī.	最近中国实施了很多环保措施。
The government decided to emphasize environmental protection.	Zhèngfǔ juédìng zhùzhòng huánbǎo.	政府决定注重环保。
Chinese people attach great importance to manners.	Zhōngguó rén hěn zhùzhòng lǐjié.	中国人很注重礼节。
She's holding her boyfriend's arm.	Tā wǎnzhe nánpéngyou de shǒu.	她挽着男朋友的手。
They accepted my advice.	Tāmen cǎinàle wǒ de jiànyì.	他们采纳了我的建议。
They're nearing the finish line.	Kuài jiējìn zhōngdiǎn le.	快接近终点了。
He ran to the finish line.	Tā pǎo dào zhōngdiǎn le.	他跑到终点了。
He's running toward the finish line.	Tā cháozhe zhōngdiǎn pǎoqù.	他朝着终点跑去。
Ms. Wang would like to drink mineral water.	Wáng xiǎojiě xiǎng hē kuàngquánshuǐ.	王小姐想喝矿泉水。
I would like to drink mineral water.	Wǒ xiǎng hē kuàngquánshuǐ.	我想喝矿泉水。
Many vegetables are on display at the stall.	Xiǎo tān shàng bǎizhe hěn duō zhǒng shūcài.	小摊上摆着很多种蔬菜。
This is the paging center.	Zhèli shì hūjiào zhōngxīn.	这里是呼叫中心。
This is a beautiful bay.	Zhè shì yī gè měilì de hǎiwān.	这是一个美丽的海湾。
They're living a leisurely life.	Tāmen de shēnghuó hěn yōuxián.	他们的生活很悠闲。
The soldiers are stationed at the frontier.	Shìbīng zhùshǒu zài biānjìng.	士兵驻守在边境。
Mr. Chen does not want to go to the coffee shop.	Chén xiānshēng bù xiǎng qù kāfēitīng.	陈先生不想去咖啡厅。
Ms. Zhou would like to go to the coffee shop.	Zhōu xiǎojiě xiǎng qù kāfēitīng.	周小姐想去咖啡厅。
This is where they met each other.	Tāmen zàicǐ xiāngféng.	他们在此相逢。
This is Pakistan.	Zhèli shì Bājīsītǎn.	这里是巴基斯坦。
She's sealing the paper box.	Tā zài fēng zhǐxiāng.	她在封纸箱。
The Middle East produces a lot of oil.	Zhōngdōng chūchǎn dàliàng de shíyóu.	中东出产大量的石油。
She kneels on the snow-covered ground.	Tā guì zài xuědì shàng.	她跪在雪地上。
Let's clear up this problem.	ràng wǒmen lái chéngqīng yīxià zhè gè wèntí .	让我们来澄清一下这个问题。
Someone farted.	Yǒu rén fàngpì.	有人放屁。
His leg bone is broken.	Tā de tuǐ gǔzhé le.	他的腿骨折了。
Director Deng considers this meeting to be important.	Dèng zhǔrèn rènwéi zhè gè huìyì hěn zhòngyào.	邓主任认为这个会议很重要。
There's a cabinet in the living-room.	Wòshì lǐ yǒu yī zǔ guìzi.	卧室里有一组柜子。
They are carrying/moving the cabinet onto the vehicle.	Tāmen bǎ guìzi táishàng chē.	他们把柜子抬上车。
This little boy is very naughty.	Zhè gè xiǎo nánhái hěn táoqì.	这个小男孩很淘气。
He is too naughty, and the teacher often criticizes him.	Tā tài táoqì le, lǎoshī jīngcháng pīpíng tā.	他太淘气了，老师经常批评他。
The mother is breastfeeding her baby.	Māma zài gěi bǎobǎo wèinǎi.	妈妈在给宝宝喂奶。
The mom is breastfeeding her child.	Māma zài gěi háizi wèinǎi.	妈妈在给孩子喂奶。
She has her eyes closed.	Tā bìzhe yǎn.	她闭着眼。
He kissed her, with his eyes closed.	tā bì zhuóyǎn , wěn le tā .	他闭着眼，吻了她。
He is very hardworking.	Tā hěn qínláo.	他很勤劳。
The media hypes up that topic.	Méitǐ chǎozuò nàge huàtí.	媒体炒作那个话题。
Some media prefer to stir up trouble.	Yǒuxiē méitǐ bǐjiào xǐhuān chǎozuò.	有些媒体比较喜欢炒作。
Beethoven is a great musician.	Bèiduōfēn shì wěidà de yīnyuèjiā.	贝多芬是伟大的音乐家。
She's practicing the piano.	Tā zài liànxí tán gāngqín.	她在练习弹钢琴。
Her hobby is playing the piano.	Tāde àihào shì dàngāngqín.	她的爱好是弹钢琴。
I think that playing the piano is not easy.	Wǒ juéde tánɡānɡqín bù róngyì.	我觉得弹钢琴不容易。
He applied the paint to the wall very evenly.	Tā bǎ qiáng de yánsè tú de hěn jūnyún.	他把墙的颜色涂得很均匀。
He is casting his net here to fish.	Tā zài zhèli sāwǎng dǎyú.	他在这里撒网打鱼。
Picasso is a famous artist.	bìjiāsuǒ shì ge yǒumíng de yìshùjiā .	毕加索是个有名的艺术家。
My mom kissed my forehead.	Māma qīnle wǒ de étóu.	妈妈亲了我的额头。
Her forehead is itching a bit.	Tā de étóu yǒudiǎn yǎng.	她的额头有点痒。
She's scratching the little dog.	Tā zài gěi xiǎo gǒu zhuāyǎng.	她在给小狗抓痒。
It's a timeless truth that the earth revolves around the sun.	Dìqiú wéirào tàiyáng zhuàn shì yǒnghéng de zhēnlǐ.	地球围绕太阳转是永恒的真理。
They spread the map out on the table.	Tāmen zài zhuōzi shàng tānkāi dìtú.	他们在桌子上摊开地图。
Younger brother is standing in the flowerpot.	Dìdi zhàn zài huāpén lǐ.	弟弟站在花盆里。
There's no water in the bottle.	Shuǐhú lǐ méiyǒu shuǐ.	水壶里没有水。
She's guiding us.	Tā gěi wǒmen yǐnlù.	她给我们引路。
What greater misfortune is there than to go blind?	yǒu shénme bǐ shī míng gēngbù xìng de ne ?	有什么比失明更不幸的呢？
Mr. Tang would like to drink something.	Táng xiānsheng xiǎng hē dōngxi.	唐先生想喝东西。
Private cars are common in China now.	Xiànzài xiǎo jiàochē zài Zhōngguó yě hěn pǔbiàn.	现在小轿车在中国也很普遍。
They're planting trees.	Tāmen zài zāishù.	她们在栽树。
I dug a hole and am about to plant a tree.	Wǒ wā le ge kēng, zhǔnbèi zāi shù.	我挖了个坑，准备栽树。
The living room of my home is in the attic.	Wǒ jiā de kètīng zài gélóu.	我家的客厅在阁楼。
The British Museum is the most majestic museum in the world.	Dà Yīng Bówùguǎn shì shìjiè shàng zuì hóngwěi de bówùguǎn.	大英博物馆是世界上最宏伟的博物馆。
Don't make excuses for being late.	Bùyào wèi nǐ de chídào zhǎo jièkǒu.	不要为你的迟到找藉口。
Today's weather is very sunny.	Jīntiān de tiānqì hěn qínglǎng.	今天的天气很晴朗。
The weather today is sunny.	Jīntiān tiānqì qínglǎng.	今天天气晴朗。
He's a high-ranking general in the army.	Tā shì jūnduì de gāojí jiànglǐng.	他是军队的高级将领。
She is very flustered.	Tā hěn huāngzhāng.	她很慌张。
His body is very strong.	Tā de shēntǐ hěn qiángzhuàng.	他的身体很强壮。
He's very strong.	Tā hěn qiángzhuàng.	他很强壮。
He wants to be strong.	Tā xiǎng biàn de qiángzhuàng.	他想变得强壮。
I like eating cereal for breakfast.	Zǎocān wǒ xǐhuan chī màipiàn.	早餐我喜欢吃麦片。
I like watching puppet shows.	Wǒ xǐhuan kàn mù'ǒu biǎoyǎn.	我喜欢看木偶表演。
All children love watching a circus performance.	Xiǎopéngyou dōu hěn xǐhuan kàn mǎxì biǎoyǎn.	小朋友都很喜欢看马戏表演。
Children like to watch clowns performing.	Xiǎohái xǐhuan kàn xiǎochǒu biǎoyǎn.	小孩喜欢看小丑表演。
The clown made a funny face.	xiǎochǒu zuò le ge guǐliǎn .	小丑做了个鬼脸。
The view of New York at night is very beautiful.	Niǔyuē de yèjǐng hěn měi.	纽约的夜景很美。
Getting him to dance is very difficult.	Ràng tā tiàowǔ qǐ bù shì hěn nán.	让他跳舞岂不是很难。
They hate each other.	Tāmen hùxiāng yuànhèn duìfāng.	他们互相怨恨对方。
He's a strange character.	tā de xìngqing gǔguài .	他的性情古怪。
I've stopped smoking as of yesterday.	Wǒ cóng zuótiān kāishǐ jièyān.	我从昨天开始戒烟。
Give up smoking if you want to live long.	rúguǒ nǐ xiǎng huó děi jiǔ yīdiǎn jiù jiè yān .	如果你想活得久一点就戒烟。
She's determined to give up smoking.	Tā juéxīn jièyān.	她决心戒烟。
He vowed to give up smoking.	tā fāshì yào jiè yān .	他发誓要戒烟。
I have successfully given up smoking.	Jièyān chénggōng le.	戒烟成功了。
His doctor advised him to give up smoking.	tā de yīshēng jiànyì tā jiè yān .	他的医生建议他戒烟。
Give up smoking!	Jièyān ba!	戒烟吧！
I wish I could give up smoking.	wǒ xīwàng nénggòu jiè yān .	我希望能够戒烟。
I advised my father to give up smoking.	Wǒ quàn bàba jièyān.	我劝爸爸戒烟。
She'll never give up smoking.	Tā wèibì nénggòu jièyān.	她未必能够戒烟。
My husband has stopped smoking for a year.	Lǎogōng jièyān yǒu yī nián le.	老公戒烟有一年了。
Thanks to the development of agricultural science, world food production has managed to keep up with population growth - but only at the expense of the future.	yóuyú nóngyè de fāzhǎn, shípǐn quánqiú chǎnliàng nénggòu gēn shàng rénkǒu de zēngzhǎng, dàn zhǐ shì xīshēng le jiānglái .	由于农业的发展，食品全球产量能够跟上人口的增长，但只是牺牲了将来。
The price of cabbage fell because of overproduction.	yóuyú chǎnliàng guòshèng , juǎn xīn cài de jiàgé xiàjiàng le .	由于产量过剩，卷心菜的价格下降了。
He is so careless that he often makes mistakes at work.	Tā hěn cūxīn, gōngzuò zhōng cháng fàncuò.	他很粗心，工作中常犯错。
He is very careless when doing things. He is always making mistakes.	Tā zuòshì hěn cūxīn, zǒng fàn guòcuò.	他做事很粗心，总犯过错。
He feels guilty in front of his girlfriend.	Tā zài nǚpéngyou miànqián gǎndào xīnxū.	他在女朋友面前感到心虚。
Shanxi is a province that produces coal.	Shānxī shì chǎn méi dà shěng.	山西是产煤大省。
The 'hollowness' inside bamboo represents modesty and humbleness.	Zhúzi  lǐmiàn de &quot;kōng&quot;, dàibiǎo qiānxū , xūxīn.	竹子里面的“空”，代表谦虚、虚心。
It's our pleasure.	zhè shì wǒmen de róngxìng .	这是我们的荣幸。
She's drinking juice.	Tā zài hē guǒzhī.	她在喝果汁。
I like juice.	Wǒ xǐhuan hē guǒzhī.	我喜欢喝果汁。
Do you want a fruit juice?	nǐ xiǎng yào bēi guǒzhī ma ?	你想要杯果汁吗？
I drink juice or coffee.	Wǒ hē guǒzhī huòzhě kāfēi.	我喝果汁或者咖啡。
Her job is weaving carpets.	Tā de gōngzuò shì biānzhī dìtǎn.	她的工作是编织地毯。
She was busy with her knitting.	tā máng zhe biānzhī .	她忙着编织。
The department store offered discounts.	Bǎihuò gōngsī dǎ zhékòu.	百货公司打折扣。
He's enjoying his food.	Tā chīde jīnjīn yǒuwèi.	他吃得津津有味。
She lived up to our expectations.	tā méiyǒu gūfù wǒmen de qīwàng .	她没有辜负我们的期望。
That report mentioned the most sensitive topic.	Nàge bàodǎo tíjí zuì mǐngǎn de huàtí.	那个报导提及最敏感的话题。
During class, the teacher mentioned the homework from last time.	Kè shàng lǎoshī tíjí le shàngcì de zuòyè.	课上老师提及了上次的作业。
Xiao Feng wore yellow clothes.	Xiǎo Fēng chuān le yījiàn huángsè de yīfu.	小峰穿了一件黄色的衣服。
This airplane is capable of carrying 40 passengers at one time.	zhè jià fēijī yī cì kěyǐ xiédài 40 míng chéngkè .	这架飞机一次可以携带40名乘客。
She always carries her mobile phone with her.	Tā zǒngshì suíshēn xiédài shǒujī.	她总是随身携带手机。
They can overcome their fear.	tāmen kěyǐ kèfú kǒngjù .	他们可以克服恐惧。
How to overcome the high value of the yen is a big problem.	rúhé kèfú rìyuán shēnggāo shì ge dà wèntí .	如何克服日元升高是个大问题。
He lives far from the Summer Palace.	Tā zhùde dìfang lí yíhéyuán hěn yuǎn.	他住的地方离颐和园很远。
He wore a stiff expression.	Tā de biǎoqíng hěn jiāngyìng.	他的表情很僵硬。
My son hasn't yet been weaned.	Wǒ de érzi shàng wèi duànnǎi.	我的儿子尚未断奶。
He paused to have a cigarette.	tā tíng xiàlai chōu gēn yān .	他停下来抽根烟。
He's very particular about the work he's doing.	Tā zuòshì hěn tiāoti.	他做事很挑剔。
The boy playing the guitar is my brother.	dàn jíta de nà ge nánhái shì wǒ dìdi .	弹吉他的那个男孩是我弟弟。
What do you think of the English accent?<br />I think the English accent sounds really refined!	Nǐ juéde Yīngguó kǒuyīn zěnmeyàng?<br />Wǒ juéde Yīngguó kǒuyīn tīngqǐlái hěn yōuyǎ.	A你觉得英国口音怎么样？<br/>B我觉得英国口音听起来很优雅！
A true gentleman never betrays his friends. <br /> A true gentleman would not betray his friends.	yī ge zhēnzhèng de shēnshì bùhuì chūmài tā de péngyou .	一个真正的绅士不会出卖他的朋友。
He looks every inch a gentleman.	tā kànshangqu shì yī gè shízú de shēnshì .	他看上去是一个十足的绅士。
He must be a gentleman to act that way.	zhèyàng de jǔzhǐ zhǐ kěnéng shì ge shēnshì .	这样的举止只可能是个绅士。
The students are usually quiet and well behaved.	Xuéshengmen tōngcháng hěn ānjìng bìngqiě jǔzhǐ wénmíng.	学生们通常很安静并且举止文明。
Her soccer moves are very nimble	Tā tīqiú de dòngzuò hěn mǐnjié.	她踢球的动作很敏捷。
He's very agile.	Tā shēnshǒu mǐnjié.	他身手敏捷。
She loves diving.	Tā xǐhuan qiánshuǐ.	她喜欢潜水。
The school invited a new chemistry professor.	Xuéxiào pìnqǐng le yīwèi xīn de huàxué jiàoshòu.	学校聘请了一位新的化学教授。
He is an expert invited by our school.	Tā shì wǒmen xuéxiào pìnqǐng de zhuānjiā.	他是我们学校聘请的专家。
They're fire-fighting heroes.	Tāmen shì jiùhuǒ yīngxióng.	他们是救火英雄。
I've bought a TV set.	Wǒ mǎile yī tái diànshìjī.	我买了一台电视机。
These rabbits were slaughtered.	Zhèxiē tùzi bèi túshā.	这些兔子被屠杀。
There is an accumulation of snow on the road.	Lùshang yǒu jīxuě.	路上有积雪。
The buildup of snow has blocked traffic.	Jīxuě zǔ'àile jiāotōng.	积雪阻碍了交通。
My work schedule changed, so I adjusted my resting times.	Shàngbān shíjiān biàn le, wǒ tiáozhěng le zuòxī shíjiān.	上班时间变了，我调整了作息时间。
She's stubborn.	Tā hěn juéjiàng.	她很倔强。
They have developed a deep friendship.	Tāmen zhījiān jiànlìle shēnhòu de yǒuyì.	他们之间建立了深厚的友谊。
The Sahara Desert is in Africa.	Sāhālā shāmò zài Fēizhōu.	撒哈拉沙漠在非洲。
He was snoring loudly while he slept.	tā shuìzháo de shíhou , dǎhū shēng hěn xiǎng .	他睡着的时候，打呼声很响。
She's lost ten pounds.	Tā shòule shí bàng.	她瘦了十磅。
He is holding a dinner knife in his right hand.	Tā yòng yòushǒu ná cāndāo.	他用右手拿餐刀。
They are saying a prayer before dinner.	Tāmen zài zuò cānqián qídǎo.	他们在做餐前祈祷。
Bring two breakfast, please. No 2 on the menu, and two teas with milk.	qǐng sòng liǎng fèn zǎocān guòlái .2 hào cān jiā liǎng bēi nǎi chá .	请送两份早餐过来。2号餐加两杯奶茶。
I ate Chinese food yesterday.	Wǒ zuótiān chī zhōngcān le.	我昨天吃中餐了。
I will eat Chinese food.	Wǒ yào chī Zhōngcān.	我要吃中餐。
He's playing chess.	Tā zài xiàqí.	他在下棋。
The scientists concentrated on their experiments.	Kēxuéjiā zhuānxīn yánjiū.	科学家专心研究。
He won the prize for excellence in all subjects.	tā gè kē quán yōu .	他各科全优。
He is an authority among brain experts.	Tā shì quánwēi de nǎokē zhuānjiā.	他是权威的脑科专家。
October 1 is China's National Day.	10 yuè 1 rì shì Zhōngguó de guóqìng rì.	10月1日是中国的国庆日。
The child has graduated, and his parents are pleased.	Háizi bìyè le, fùmǔ gǎndào hěn xīnxǐ.	孩子毕业了，父母感到很欣喜。
I go to the office by bicycle except on rainy days.	chúle yǔtiān , wǒ dōu shì qíchē qù shàngbān de .	除了雨天，我都是骑车去上班的。
The meat has been stewed till it's very soft.	Ròu dùn de hěn làn.	肉炖得很烂。
He knocked his opponents out of the race.	Tā bǎ qítā duìshǒu táotài le.	他把其他对手淘汰了。
The company reversed its losses.	Gōngsī niǔzhuǎn le kuīsǔn.	公司扭转了亏损。
The new CEO reversed this company's losses.	Xīn zǒngcái niǔzhuǎn le zhèjiā gōngsī de kuīsǔn.	新总裁扭转了这家公司的亏损。
What subject do you teach?<br />I teach Chemistry. Do you teach English?	Nǐ jiāo shénme xuékē?<br />Wǒ jiāo huàxué. Nǐ jiāo Yīngwén ma?	A你教什么学科?<br/>B我教化学。你教英文吗?
He loves smoked meat.	Tā xǐhuan chī xūnròu.	他喜欢吃熏肉。
The bottom of the pan was blackened by soot.	Guōdǐ bèi xūnhēi le.	锅底被熏黑了。
They are drawing on the brick wall.	Tāmen zài zhuānqiáng shàng huàhuà.	他们在砖墙上画画。
Who discovered universal gravitation?	Shì shéi fāxiànle wànyǒu yǐnlì?	是谁发现了万有引力？
She's a rich lady.	Tā shì yī wèi kuò xiǎojiě.	她是一位阔小姐。
The government has enacted a new law.	Guójiā bānbùle xīn fǎlìng.	国家颁布了新法令。
The government issued a new bill.	Zhèngfǔ bānbù le yīxiàng xīn fǎ'àn.	政府颁布了一项新法案。
Don't blame me unjustly.	Nǐ bùyào yuānwang wǒ!	你不要冤枉我！
Gold is very rare.	Jīnzi hěn xīqí.	金子很希奇。
In the light of what you told us, I think we should revise our plan.	gēnjù nǐ suǒ shuō dehuà , wǒ rènwéi wǒmen yīnggāi chóngxīn shěnshì wǒmen de jìhuà .	根据你所说的话，我认为我们应该重新审视我们的计划。
This nation's military preparations are fine.	Zhè gè guójiā de jūnduì yǒu liánghǎo de jūnbèi.	这个国家的军队有良好的军备。
The sister look very much alike.	Jiěmèi liǎ zhǎng de hěn xiàng.	姐妹俩长得很像。
This is property that was left by my father.	Zhè shì wǒ fùqin yíliú xiàlái de cáichǎn.	这是我父亲遗留下来的财产。
His grandfather left him a lot of assets.	Tā yéye gěi tā yíliú xià hěn duō cáichǎn.	他爷爷给他遗留下很多财产。
He died and left behind a great sum of money.	Tā sǐ le, yíliú xià jù'é cáichǎn.	他死了，遗留下巨额财产。
She passed away peacefully in her sleep.	tā zài shuìmián zhōng ānxiáng dì qùshì le .	她在睡眠中安详地去世了。
Marijuana is a type of drug.	Dàmá shì yīzhǒng dúpǐn.	大麻是一种毒品。
Our classmate Yang Mei is of Chinese origin.	Wǒmen bān shàng de Yáng Méi shì ge Huáyì.	我们班上的杨梅是个华裔。
He is painting.	Tā zài tú yóuqī.	他在涂油漆。
"Wet Paint [lit., ""The paint has not yet dried.""]"	Yóuqī wèi gān.	油漆未干。
He's painting the wall.	Tā gěi qiángmiàn shuāshàng yóuqī.	他给墙面刷上油漆。
The paint on the wall has come off.	Qiáng shàng de yóuqī tuōluò le.	墙上的油漆脱落了。
I live in a big city.	wǒ zhù zài yī gè dà chéngshì lǐ .	我住在一个大城市里。
I definitely don't like hamburgers.	Wǒ bìng bù xǐhuan chī hànbǎo.	我并不喜欢吃汉堡。
This is the original manuscript.	Zhè fèn shì yuángǎo.	这份是原稿。
He feels powerless about his own life.	Tā duì shēnghuó gǎndào hěn wúnài.	他对生活感到很无奈。
They're gambling on cards.	Tā zhèngzài dǔ pái.	他正在赌牌。
He's annotating the book.	Tā zài shū shàng zuò pīzhù.	他在书上做批注。
Before its return to China, Hong Kong was a colony of the UK.	Xiānggǎng huíguī qián céng shì Yīngguó de zhímíndì.	香港回归前曾是英国的殖民地。
HK was once a colony of the UK.	Xiānggǎng céngjīng shì Yīngguó de zhímíndì.	香港曾经是英国的殖民地。
Macau was once a colony of Portugal.	Àomén céngjīng shì Pútáoyá de zhímíndì.	澳门曾经是葡萄牙的殖民地。
We should offer to help the handicapped.	Duì cánjí rén wǒmen yīnggāi jǐyǔ bāngzhù.	对残疾人我们应该给予帮助。
This toy is made of tin.	Zhè gè wánjù shì xī zuò de.	这个玩具是锡做的。
It is rude of you to say so.	nǐ zhème shuō hěn shīlǐ .	你这么说很失礼。
She put the gift on her head.	Tā bǎ lǐwù zhì zài tóudǐng.	她把礼物置在头顶。
She is deeply in debt.	Tā qiànle hěn duō zhài.	她欠了很多债。
I can pay off my debts tomorrow.	Wǒ míngtiān jiù kěyǐ háiqīng zhàikuǎn le.	我明天就可以还清债款了。
There are big cultural differences between the two nations.	Liǎng guó wénhuà chāyì hěn dà.	两国文化差异很大。
Eastern and Western culture are very different.	Dōngxī fāng de wénhuà yǒu hěn dà de chāyì.	东西方的文化有很大的差异。
The river is running quickly. It is dangerous to cross.	Hé shuǐ hěn jí, dù guòqù hěn wēixiǎn.	河水很急，渡过去很危险。
We know little of his personal history.	wǒmen duì tā de sīshì zhīdào děi hěn shǎo .	我们对他的私事知道得很少。
Today's exchange rate is 1 US dollar for 30 NT.	Jīntiān yī měijīn duìhuàn sānshí Táibì.	今天一美金兑换三十台币。
In Taiwan, people usually make purchases using NT.	Zài Táiwān, tōngcháng yòng Táibì mǎi dōngxi.	在台湾，通常用台币买东西。
I wash my hands with soap.	Wǒ yòng féizào xǐshǒu.	我用肥皂洗手。
On-the-scene rescue work is very difficult.	Xiànchǎng de yíngjiù gōngzuò hěn kùnnan.	现场的营救工作很困难。
The passport is counterfeit.	Hùzhào shì wěizào de.	护照是伪造的。
He is having a vision examination.	Tā zài jìnxíng shìlì cèyàn.	他在进行视力测验。
The examination hasn't ended yet.	Kǎoshì cèyàn hái méiyǒu jiéshù.	考试测验还没有结束。
I have a test today.	Wǒ jīntiān yǒu yīgè cèyàn.	我今天有一个测验。
Do you have a test today?	Nǐ jīntiān yǒu yī gè cèyàn ma?	你今天有一个测验吗？
She does not have a test today.	Tā jīntiān méi yǒu yī gè cèyàn.	她今天没有一个测验。
When will you have the test?	Nǐ shénme shíhòu yǒu yī gè cèyàn?	你什么时候有一个测验？
We have a test tomorrow.	wǒmen míngtiān yǒu ge cèyàn .	我们明天有个测验。
My little sister has a test today.	Wǒ mèimèi jīntiān yǒu yī gè cèyàn.	我妹妹今天有一个测验。
When will she have the history test?	Tā shénme shíhòu yǒu yī gè lìshǐ cèyàn?	她什么时候有一个历史测验？
When will the students have the math test?	Xuéshengmen shénme shí hòu yǒu yī gè shùxué cèyàn?	学生们什么时候有一个数学测验？
The roast chicken smells very nice.	Kǎo jī zhēn xiāng a.	烤鸡真香啊。
Leaders of the two sides met.	Shuāngfāng lǐngdǎo rén huìwù.	双方领导人会晤。
Both sides begin to meet officially.	Shuāngfāng kāishǐ zhèngshì de huìwù.	双方开始正式的会晤。
The Chinese Premier met with the American delegation.	Zhōngguó zǒnglǐ huìwù le Měiguó dàibiǎo tuán.	中国总理会晤了美国代表团。
The reporter interviewed Premier Wen Jiabao.	Jìzhě cǎifǎng le Wēn Jiābǎo zǒnglǐ.	记者采访了温家宝总理。
He sets an example for us.	Tā shì wǒmen de mófàn.	他是我们的模范。
The sun is to the west.	Tàiyáng piānxī le.	太阳偏西了。
He lost his sunglasses.	Tā diūshīle tàiyángjìng.	他丢失了太阳镜。
They're digging in the yard.	Tāmen zài yuànzi lǐ wātǔ.	他们在院子里挖土。
